episode,air_date,title,region,detail_url
76,2020-11-06,"원초적인 자연의 맛, 맛의 원석 철원 밥상",강원특별자치도 철원군,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/407819.cstv?search_text=
82,2020-12-18,도심에서 찾은 힐링의 맛! 서울 마포 밥상,서울특별시 마포구,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/414897.cstv?search_text=
83,2020-12-25,맛있는 선물! 영동 밥상,충청북도 영동군,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/415704.cstv?search_text=
84,2021-01-01,새해에도 든든하고 맛있소! 포항 밥상,경상북도 포항시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/417223.cstv?search_text=
88,2021-01-29,살고 싶은 맛! 생거진천 밥상,충청북도 진천군,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/430302.cstv?search_text=
89,2021-02-05,위풍당당! 서울 인왕산 밥상,서울특별시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/435322.cstv?search_text=
90,2021-02-12,부자되세요~! 명동 주식(主食) 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/437992.cstv?search_text=
91,2021-02-20,화려한 바다의 맛! 전남 여수 밥상,전라남도 여수시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/441791.cstv?search_text=
94,2021-03-12,우아한 맛! 서울 덕수궁 밥상,서울특별시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/471274.cstv?search_text=
95,2021-03-19,맛이 예술이다! 헤이리 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/481763.cstv?search_text=
98,2021-04-09,이 봄에 안성맞춤! 안성 밥상,경기도 안성시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/502047.cstv?search_text=
99,2021-04-16,넘어 볼 맛 난다! 강원도 한계령 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/504608.cstv?search_text=
101,2021-04-30,떠나볼까? 경기도 광주 나들이 밥상,경기도 광주시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/510971.cstv?search_text=
107,2021-06-11,맛은 추억이다! 예산 고향 밥상,충청남도 예산군,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/542442.cstv?search_text=
108,2021-06-18,인천은 바다다~! 인천 부두 밥상,인천광역시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/545670.cstv?search_text=
110,2021-07-02,맛있는 산행! 북한산 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/550758.cstv?search_text=
111,2021-07-09,여름엔 동해다! 동해 바다 밥상,강원특별자치도 동해시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/554172.cstv?search_text=
116,2021-08-13,우아한 반전~! 근교 남양주 밥상,경기도 남양주시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/565753.cstv?search_text=
120,2021-09-10,밥심으로 세우다! 울산의 맛!,울산광역시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/576269.cstv?search_text=
121,2021-09-17,추석 특집 1부 '전설의 소고기',,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/577170.cstv?search_text=
